UID,MID,RATING,TIME
663,2710,5,975653089
667,2710,2,977090233
669,2710,5,975634808
675,2710,2,975618575
676,2710,2,976164725
678,2710,3,989241865
692,2710,4,1012665730
698,2710,4,1015127127
704,2710,4,975548411
709,2710,2,975540567
710,2710,4,975731591
712,2710,5,975537246
714,2710,5,975537089
720,2710,1,975528584
723,2710,2,975524545
734,2710,3,975481857
736,2710,5,975478927
737,2710,4,976835361
741,2710,4,975474120
744,2710,3,975468268
749,2710,4,975460570
752,2710,3,975464349
753,2710,3,1012166404
757,2710,1,975452680
764,2710,5,975450194
768,2710,3,975520635
770,2710,1,976181325
773,2710,3,975440972
776,2710,1,975440232
777,2710,2,975520702
779,2710,3,975435765
784,2710,5,975430432
787,2710,4,975430102
789,2710,4,975429028
791,2710,3,982009308
796,2710,1,978700274
802,2710,4,975405968
808,2710,4,975393462
809,2710,5,975394435
812,2710,1,975394559
815,2710,2,975392800
816,2710,2,975471021
817,2710,5,975388278
818,2710,1,975385074
828,2710,3,975370058
838,2710,4,975359381
855,2710,3,976412322
858,2710,3,975344901
861,2710,1,975342546
869,2710,4,975276973
871,2710,3,975273837
875,2710,1,975269906
880,2710,5,975263334
881,2710,4,1014313797
884,2710,1,998606528
889,2710,3,975364312
890,2710,5,997762591
891,2710,4,975232970
895,2710,1,975220920
896,2710,5,975220823
897,2710,5,975220065
902,2710,5,975211341
903,2710,1,975211921
908,2710,1,975208344
920,2710,3,975202194
935,2710,3,975183464
937,2710,4,995059692
940,2710,4,975175555
944,2710,2,975165760
945,2710,1,975164222
958,2710,3,975128240
960,2710,4,975124384
961,2710,3,975120718
967,2710,4,975115680
970,2710,2,975143230
971,2710,4,975112271
975,2710,3,975126682
976,2710,2,975105562
977,2710,5,975106617
984,2710,1,975100279
990,2710,4,978137427
1001,2710,4,976298171
1010,2710,4,975224995
1015,2710,3,975014191
1017,2710,1,975012437
1019,2710,2,975523498
1022,2710,1,975006498
1025,2710,1,975002388
1039,2710,5,974980472
1050,2710,4,974961718
1051,2710,2,987218995
1058,2710,3,974958807
1059,2710,3,974956082
1068,2710,4,974951130
1086,2710,1,975010348
1087,2710,3,988651783
1088,2710,1,998356172
1090,2710,2,974931944
1101,2710,4,982007963
1105,2710,3,976047203
1107,2710,2,978652258
1109,2710,5,974919410
1110,2710,3,974920043
1112,2710,5,974944135
1115,2710,3,974914535
1117,2710,4,1001082129
1120,2710,5,974913526
1122,2710,1,974909092
1125,2710,1,975624908
1137,2710,3,975362804
1139,2710,4,974879966
1142,2710,4,974876183
1146,2710,5,974932485
1149,2710,4,974869643
1151,2710,5,974871093
1153,2710,4,974866621
1160,2710,1,1008037162
1164,2710,4,975469410
1172,2710,3,974867608
1173,2710,4,974860291
1181,2710,2,976069435
1182,2710,3,974861863
1186,2710,3,977291142
1193,2710,1,974850092
1194,2710,3,1036724817
1195,2710,2,974848197
1201,2710,1,975207678
1203,2710,4,998231308
1204,2710,3,974843946
1207,2710,1,974911218
1211,2710,3,976671306
1212,2710,3,974842436
1221,2710,1,974838763
1222,2710,2,975027463
1230,2710,5,974842440
1237,2710,2,974833214
1238,2710,3,974833297
1242,2710,3,974832678
1243,2710,3,978996230
1246,2710,1,975930626
1255,2710,4,974822127
1263,2710,4,974921002
1264,2710,4,974823131
1268,2710,2,974817896
1277,2710,5,974798054
1279,2710,3,974854955
1285,2710,5,974794389
1286,2710,2,974790757
1290,2710,4,974789566
1298,2710,2,974790654
1299,2710,1,974787606
1300,2710,5,974788925
1303,2710,2,974793690
1306,2710,4,974787960
1317,2710,2,1010356047
1324,2710,5,974777129
1329,2710,4,977166260
1335,2710,3,974820034
1340,2710,4,975129709
1341,2710,5,974774093
1342,2710,2,974773979
1343,2710,3,975194947
1366,2710,3,974768907
1370,2710,3,974768201
1372,2710,2,974768722
1376,2710,3,974767533
1383,2710,1,974766187
1399,2710,1,974764588
1411,2710,4,974761631
1412,2710,1,974761880
1416,2710,2,975225589
1420,2710,4,975346787
1422,2710,4,976138704
1424,2710,4,974759333
1425,2710,4,974760453
1434,2710,2,974759981
1438,2710,5,974757800
1447,2710,5,981016780
1448,2710,4,976121594
1449,2710,4,974825857
1451,2710,3,1008710056
1453,2710,3,974757066
1465,2710,2,974759828
1467,2710,3,976565397
1470,2710,1,974839892
1474,2710,1,974753419
1482,2710,4,975204121
1484,2710,4,997907479
1486,2710,2,974755358
1489,2710,1,975118468
1491,2710,3,974749812
1496,2710,4,974750871
1502,2710,1,975142954
1505,2710,3,983671204
1516,2710,1,976294954
1519,2710,1,974770709
1524,2710,5,981319167
1528,2710,4,974744623
1530,2710,4,985049183
1532,2710,5,974825888
1542,2710,4,974745975
1543,2710,1,974743988
1544,2710,4,974744151
1546,2710,4,974751344
1548,2710,1,974742623
1551,2710,5,1013376994
1555,2710,4,974741224
1560,2710,4,974740473
1562,2710,5,974926606
1572,2710,5,974737664
1577,2710,3,974737342
1579,2710,4,980529420
1581,2710,3,974750933
1582,2710,4,974737142
1583,2710,5,974736016
1587,2710,4,974747617
1593,2710,2,1014180638
1595,2710,2,974733819
1596,2710,5,974734937
1597,2710,3,974779850
1599,2710,5,974733118
1602,2710,5,974732368
1605,2710,1,975382557
1606,2710,1,974735887
1607,2710,1,974732137
1608,2710,4,974730413
1609,2710,3,974750402
1611,2710,5,974731436
1613,2710,4,974729881
1617,2710,2,974731558
1626,2710,5,974722273
1628,2710,4,975163019
1631,2710,1,974725640
1635,2710,5,974792133
1636,2710,5,974959997
1639,2710,5,975142707
1640,2710,1,974716656
1641,2710,4,974714449
1643,2710,4,1011843527
1644,2710,2,974713382
1647,2710,1,974803701
1650,2710,3,974715706
1653,2710,4,974711994
1655,2710,2,974760208
1658,2710,4,974710782
1666,2710,4,974967865
1667,2710,1,974711696
1676,2710,4,974708987
1678,2710,4,974714298
1679,2710,4,974708799
1680,2710,5,974709091
1687,2710,4,974713983
1688,2710,1,974707945
1690,2710,2,974713236
1693,2710,3,974707918
1694,2710,3,974712116
1698,2710,4,974774304
1702,2710,3,974875798
1705,2710,3,974709557
1712,2710,4,1012110143
1716,2710,2,974710550
1719,2710,1,974704717
1722,2710,1,974705610
1724,2710,4,976444768
1725,2710,3,974704905
1727,2710,4,974704853
1733,2710,4,977808038
1737,2710,1,976063511
1738,2710,2,974704590
1745,2710,1,974706314
1748,2710,3,974724779
1758,2710,4,974786788
1764,2710,2,974701904
1765,2710,4,974706030
1769,2710,1,974700854
1776,2710,4,983038471
1778,2710,1,974700540
1779,2710,3,977032107
1787,2710,2,974700708
1791,2710,2,974699823
1793,2710,3,974752897
1794,2710,4,974708687
1802,2710,5,974759267
1803,2710,3,974706167
1804,2710,3,974698105
1805,2710,1,974734582
1806,2710,5,974698121
1807,2710,1,974741907
1809,2710,2,974698051
1812,2710,3,989165191
1816,2710,1,974697870
1820,2710,1,974701756
1824,2710,4,977202540
1828,2710,3,974700393
1831,2710,3,974701612
1834,2710,4,1038179600
1835,2710,5,974878687
1841,2710,2,974700834
1842,2710,5,996464782
1851,2710,3,974696150
1854,2710,2,974696078
1861,2710,1,974702240
1865,2710,1,976584221
1866,2710,4,974760799
1875,2710,3,974700484
1878,2710,5,974844380
1880,2710,4,974739051
1889,2710,2,989088261
1891,2710,4,974692152
1900,2710,1,974691615
1902,2710,4,975063514
1904,2710,2,974760480
1910,2710,1,974693529
1912,2710,4,979948697
1925,2710,4,974689914
1926,2710,5,974774249
1928,2710,3,974689395
1930,2710,2,974693504
1931,2710,2,974690778
1934,2710,3,974689756
1941,2710,2,974850810
1943,2710,2,974691072
1944,2710,3,974692161
1950,2710,1,974701111
1955,2710,4,974688166
1958,2710,4,974927792
1962,2710,4,974686897
1968,2710,5,974693912
1980,2710,4,974776048
1982,2710,3,979626926
1983,2710,1,974684022
2001,2710,1,974678396
2005,2710,5,974676843
2010,2710,1,974686259
2019,2710,1,974673692
2020,2710,3,974681079
2021,2710,2,974673204
2022,2710,4,974742753
2031,2710,3,974670483
2033,2710,3,974669814
2040,2710,3,974666885
2043,2710,4,974666127
2047,2710,4,974672290
2050,2710,4,974662398
2052,2710,2,974661795
2055,2710,4,974663158
2057,2710,3,987256694
2058,2710,2,974661205
2060,2710,2,974681212
2063,2710,1,975361448
2073,2710,1,974657462
2075,2710,5,974657283
2076,2710,3,974659719
2077,2710,4,974656657
2098,2710,4,974654408
2101,2710,5,974653191
2105,2710,3,974669751
2106,2710,2,975435832
2109,2710,5,974660215
2114,2710,5,974651063
2116,2710,1,974760264
2117,2710,1,974648107
2129,2710,5,974642766
2131,2710,3,974643990
2139,2710,5,974638926
2145,2710,4,974628702
2150,2710,4,974825607
2155,2710,4,974618195
2157,2710,5,974621518
2161,2710,3,974618663
2164,2710,3,974614811
2165,2710,4,974615350
2172,2710,3,974610433
2176,2710,3,1010379916
2181,2710,1,974609345
2183,2710,1,974608080
2184,2710,4,974607466
2188,2710,2,974664316
2189,2710,2,974606604
2196,2710,3,974606038
2199,2710,2,974606167
2205,2710,3,974606125
2206,2710,2,974604373
2212,2710,4,974601594
2223,2710,2,974602381
2255,2710,1,976156870
2261,2710,1,974584634
2264,2710,3,974583071
2265,2710,2,974583190
2269,2710,3,981904634
2278,2710,1,974587933
2280,2710,2,974576047
2286,2710,3,974521000
2288,2710,3,974519048
2293,2710,1,974510752
2298,2710,3,974499021
2304,2710,2,974493825
2307,2710,4,976892694
2308,2710,2,974487453
2314,2710,1,974480468
2325,2710,2,974434783
2333,2710,2,974462257
2344,2710,3,974413322
2351,2710,4,974402854
2352,2710,1,974401409
2353,2710,3,1020442259
2358,2710,1,974383811
2374,2710,5,974335331
2382,2710,2,974324593
2383,2710,4,974322704
2393,2710,3,974294409
2395,2710,2,974292367
2403,2710,1,974260379
2411,2710,1,974588336
2414,2710,5,974917682
2419,2710,3,974241368
2430,2710,2,974224788
2436,2710,2,976153230
2440,2710,3,974221930
2446,2710,4,974215452
2457,2710,1,974180461
2469,2710,3,974159891
2472,2710,3,977006434
2480,2710,4,974147408
2484,2710,2,974147916
2496,2710,1,974092246
2501,2710,4,994950282
2504,2710,2,1005452360
2528,2710,3,976805672
2530,2710,5,974054834
2540,2710,3,974048468
2544,2710,1,1024887982
2548,2710,5,974036219
2551,2710,4,974015395
2565,2710,5,973966134
2572,2710,2,973913057
2573,2710,2,973907132
2575,2710,2,973904574
2577,2710,1,974151151
2589,2710,4,973863886
2609,2710,3,974664406
2611,2710,3,992890333
2625,2710,3,973633042
2627,2710,1,973629687
2630,2710,2,973621134
2633,2710,2,973612787
2636,2710,1,973577845
2637,2710,3,973575831
2641,2710,5,974535889
2643,2710,1,985029316
2645,2710,1,973558435
2650,2710,1,973547805
2653,2710,4,973534611
2655,2710,4,1010071901
2665,2710,3,974649489
2668,2710,4,973444400
2680,2710,3,973400527
2684,2710,3,973465871
2686,2710,1,973372829
2702,2710,1,973389627
2736,2710,2,973389085
2751,2710,3,973202142
2760,2710,2,1041684087
2763,2710,4,973138142
2781,2710,3,973019468
2786,2710,2,972974442
2787,2710,2,972965541
2790,2710,3,972940483
2793,2710,5,972935815
2796,2710,1,997319032
2802,2710,4,972824503
2807,2710,1,972794504
2810,2710,4,972794305
2820,2710,5,979871899
2825,2710,3,972612558
2830,2710,4,972592545
2833,2710,5,972586050
2837,2710,2,972571231
2839,2710,1,972570201
2840,2710,3,972569051
2846,2710,4,972526823
2847,2710,3,1028958325
2852,2710,4,972507115
2854,2710,5,972577564
2857,2710,1,972505155
2860,2710,4,972507179
2864,2710,1,972498331
2868,2710,3,992717503
2871,2710,4,972424106
2872,2710,1,972418153
2880,2710,2,972270088
2883,2710,1,972266182
2891,2710,3,972009123
2895,2710,4,972056282
2896,2710,2,971997231
2898,2710,2,971923917
2903,2710,3,971853503
2907,2710,2,971844138
2908,2710,5,971809236
2909,2710,1,971972492
2910,2710,5,1016472232
2911,2710,5,978822465
2912,2710,3,971794284
2917,2710,2,971730180
2918,2710,5,1011907424
2919,2710,2,975447930
2924,2710,4,971592047
2928,2710,2,971551834
2929,2710,5,971588699
2935,2710,4,971485635
2940,2710,4,971368640
2954,2710,3,971210545
2955,2710,3,971204854
2958,2710,3,971140807
2969,2710,4,982770219
2972,2710,3,971064824
2973,2710,3,971060849
2974,2710,3,971030657
2985,2710,2,1029891153
2986,2710,2,971848092
2987,2710,3,970795190
2988,2710,3,974941629
2996,2710,5,972416649
3002,2710,2,1034190406
3004,2710,4,970605186
3005,2710,1,970568137
3006,2710,2,970540777
3026,2710,1,970459396
3031,2710,4,970954702
3032,2710,1,970357938
3041,2710,2,989864681
3044,2710,5,970213590
3046,2710,5,970187176
3053,2710,4,970170603
3054,2710,3,987020321
3055,2710,4,997658377
3056,2710,2,970123533
3062,2710,3,970017665
3065,2710,2,969998282
3067,2710,4,969998912
3069,2710,4,969951933
3081,2710,4,969801182
3091,2710,1,969659556
3094,2710,2,969649963
3102,2710,4,969572028
3103,2710,4,969566335
3106,2710,3,969530918
3107,2710,2,969510534
3112,2710,4,969474757
3116,2710,4,969463860
3120,2710,2,969900700
3121,2710,5,969333321
3123,2710,4,969323705
3125,2710,3,969305791
3134,2710,1,969082828
3137,2710,3,969052198
3147,2710,4,968963721
3159,2710,3,968879797
3179,2710,4,968775303
3182,2710,5,968780502
3184,2710,2,968709363
3189,2710,2,968662846
3193,2710,2,968643315
3196,2710,1,968637871
3198,2710,3,968702062
3202,2710,3,968574120
3206,2710,4,968560957
3207,2710,4,968569637
3208,2710,4,968555491
3219,2710,1,978358825
3224,2710,2,968703829
3228,2710,4,968418613
3230,2710,5,968391705
3235,2710,1,968358897
3239,2710,1,968357312
3240,2710,3,968551303
3249,2710,2,968298014
3252,2710,3,968289656
3256,2710,4,968278110
3258,2710,1,986580654
3259,2710,4,968277007
3265,2710,3,968262672
3267,2710,3,968202933
3280,2710,4,968169545
3285,2710,3,968118885
3290,2710,4,968092827
3295,2710,2,968056845
3296,2710,4,968057403
3301,2710,4,1026010311
3311,2710,2,967961651
3312,2710,3,981863823
3314,2710,1,967943698
3323,2710,2,968978115
3327,2710,2,972987939
3331,2710,2,970525903
3332,2710,5,967847889
3333,2710,3,967846933
3337,2710,5,967834598
3342,2710,2,967784909
3352,2710,5,967743479
3371,2710,3,967664302
3374,2710,2,967601131
3376,2710,1,967587983
3384,2710,2,967567334
3386,2710,2,967528515
3391,2710,2,1046187045
3395,2710,5,967487272
3399,2710,2,967582776
3410,2710,5,967419449
3412,2710,4,967663594
3420,2710,5,990720262
3436,2710,5,967327707
3441,2710,1,972795947
3442,2710,2,967306093
3453,2710,1,970196426
3454,2710,5,968199079
3457,2710,4,967241131
3458,2710,5,967223757
3462,2710,3,967780016
3464,2710,3,967248117
3469,2710,3,967231408
3471,2710,3,968032000
3474,2710,4,967132055
3475,2710,3,1015736901
3476,2710,1,968953793
3479,2710,2,967087858
3491,2710,4,967066747
3504,2710,5,966981653
3507,2710,2,966999148
3509,2710,1,967223510
3513,2710,5,966974880
3516,2710,1,973558946
3519,2710,1,969989445
3522,2710,3,966914495
3524,2710,4,970889139
3525,2710,5,966929081
3536,2710,1,966885647
3540,2710,2,968955614
3550,2710,4,967156571
3557,2710,4,966807957
3564,2710,4,966998603
3569,2710,5,966742277
3571,2710,2,966737631
3575,2710,4,966720018
3586,2710,3,966692659
3590,2710,4,972698737
3591,2710,1,966645781
3602,2710,4,967006263
3605,2710,1,966615131
3607,2710,3,966612293
3612,2710,3,966604175
3618,2710,3,966596763
3624,2710,3,966563277
3625,2710,1,966563014
3626,2710,4,966617716
3630,2710,3,966740674
3632,2710,5,966536192
3637,2710,3,966489070
3638,2710,4,966579415
3639,2710,3,966487306
3641,2710,4,966482701
3648,2710,1,994801855
3650,2710,3,966458865
3654,2710,2,966452495
3661,2710,2,966431794
3669,2710,4,966466106
3673,2710,5,966545249
3675,2710,3,966365978
3677,2710,5,966364003
3683,2710,3,966353473
3684,2710,4,966350349
3688,2710,5,966402097
3690,2710,3,966310587
3693,2710,4,966304675
3698,2710,1,966976565
3709,2710,5,966277141
3715,2710,1,966266690
3717,2710,2,966265172
3727,2710,4,966220255
3728,2710,3,966215583
3736,2710,5,966189769
3745,2710,4,966139364
3747,2710,2,966138035
3759,2710,4,966095819
3762,2710,4,966434660
3768,2710,5,966064583
3771,2710,3,966048294
3773,2710,2,966046295
3782,2710,5,966026221
3794,2710,4,966015067
3801,2710,4,965998199
3804,2710,5,965968990
3806,2710,1,965965859
3807,2710,4,965966177
3808,2710,1,965974045
3812,2710,3,965957544
3821,2710,1,974758167
3824,2710,5,978124220
3827,2710,1,966129774
3829,2710,4,965931966
3836,2710,2,965925293
3842,2710,5,965918708
3844,2710,5,965890712
3847,2710,3,965885819
3850,2710,3,965879148
3851,2710,4,965879252
3853,2710,5,970208304
3855,2710,4,965873907
3860,2710,3,965859828
3869,2710,2,965846624
3884,2710,2,965818433
3887,2710,5,965807241
3896,2710,2,965782614
3899,2710,3,965770170
3900,2710,3,965873779
3901,2710,2,965769581
3913,2710,3,965766593
3916,2710,3,965764302
3925,2710,5,965710046
3930,2710,4,965705987
3931,2710,4,965707778
3934,2710,2,965704999
3938,2710,5,965700553
3940,2710,4,965695929
3942,2710,4,965694382
3945,2710,2,965687542
3961,2710,5,967226733
3965,2710,2,965668126
3971,2710,4,970341681
3972,2710,1,965658072
3973,2710,1,965656169
3976,2710,5,965650432
3983,2710,2,965618256
3987,2710,3,965607303
3991,2710,5,980649834
3993,2710,3,965699091
3999,2710,1,965572168
4000,2710,2,965570144
4009,2710,3,965544641
4010,2710,3,965544533
4011,2710,5,965543240
4016,2710,1,965533778
4022,2710,2,965519545
4024,2710,2,965517624
4026,2710,4,965516883
4030,2710,4,965628110
4035,2710,4,965509713
4041,2710,3,965504120
4042,2710,3,965505312
4043,2710,3,965503957
4048,2710,1,965507056
4051,2710,4,965496193
4053,2710,3,965493296
4058,2710,5,965494486
4060,2710,5,965492207
4064,2710,4,965481216
4070,2710,2,965452233
4071,2710,5,965612925
4085,2710,4,972702130
4086,2710,4,965433741
4087,2710,3,965431010
4088,2710,4,965431309
4089,2710,5,972708143
4091,2710,4,965425246
4102,2710,1,965412648
4117,2710,5,965623441
4123,2710,3,965357967
4126,2710,4,978495885
4132,2710,5,965350458
4133,2710,1,965350395
4135,2710,4,965348992
4140,2710,2,965347575
4141,2710,3,965350801
4157,2710,1,965337071
4162,2710,4,965336760
4169,2710,4,965693422
4186,2710,2,1017935652
4203,2710,5,965323781
4209,2710,1,965320283
4212,2710,4,965321440
4215,2710,4,965326037
4232,2710,3,1023466160
4236,2710,3,965310277
4238,2710,5,965349068
4241,2710,3,983482682
4260,2710,2,965322919
4263,2710,2,965305021
4266,2710,1,965304141
4267,2710,2,965303201
4277,2710,5,966422585
4279,2710,4,965284344
4280,2710,5,965281903
4292,2710,2,965273451
4296,2710,3,965270240
4308,2710,3,965261005
4309,2710,2,965723811
4312,2710,1,965260139
4318,2710,5,965380678
4325,2710,3,965246197
4328,2710,4,965244120
4334,2710,4,965239316
4335,2710,3,965239785
4336,2710,1,965241800
4337,2710,4,965349103
4344,2710,3,966446116
4351,2710,1,965200360
4352,2710,5,965226636
4359,2710,3,965188242
4362,2710,2,965186185
4364,2710,3,965185438
4371,2710,1,1005351616
4374,2710,5,965178689
4375,2710,5,966687252
4376,2710,4,965177321
4378,2710,2,965175601
4381,2710,4,969678830
4386,2710,3,965167304
4387,2710,4,965247143
4394,2710,1,965159708
4397,2710,4,965159255
4404,2710,3,965157939
4406,2710,1,965155222
4409,2710,3,965152308
4412,2710,1,965150916
4413,2710,3,965148122
4414,2710,5,965560395
4419,2710,2,965127573
4422,2710,3,965119166
4425,2710,2,965115608
4439,2710,5,965096010
4444,2710,2,965089932
4446,2710,5,965089501
4447,2710,4,965256092
4448,2710,1,966449352
4455,2710,3,965077075
4458,2710,4,965076964
4473,2710,2,965067457
4481,2710,3,965023010
4482,2710,4,965021806
4485,2710,3,965015665
4488,2710,2,965014207
4489,2710,4,965009421
4490,2710,1,965007384
4492,2710,1,965005403
4496,2710,2,965013807
4497,2710,1,972444362
4498,2710,2,964998241
4502,2710,3,964988491
4508,2710,4,964980536
4509,2710,4,964981174
4510,2710,1,964991450
4514,2710,4,965266464
4517,2710,2,964864002
4520,2710,4,964836594
4521,2710,5,964837459
4523,2710,3,964814297
4524,2710,3,964814650
4543,2710,4,965106545
4545,2710,4,964659064
4549,2710,1,964574309
4550,2710,4,964569805
4557,2710,2,965242800
4568,2710,5,964477445
4573,2710,1,964452194
4578,2710,5,964387717
4579,2710,3,1008575599
4585,2710,5,964323806
4586,2710,4,964316074
4593,2710,1,964236030
4600,2710,2,1004300072
4607,2710,4,964196836
4609,2710,3,964168098
4620,2710,4,964124516
4621,2710,3,964119278
4634,2710,2,964713640
4635,2710,5,964032637
4640,2710,1,997286661
4642,2710,5,964006303
4643,2710,3,963999243
4644,2710,4,964759164
4647,2710,1,963966467
4648,2710,4,963958718
4656,2710,3,963894127
4658,2710,5,963879825
4662,2710,3,963869074
4664,2710,4,963858175
4675,2710,4,963737138
4679,2710,2,963704633
4688,2710,1,963618136
4699,2710,3,963563090
4708,2710,4,964991819
4711,2710,1,963491540
4713,2710,2,963449443
4715,2710,4,963507231
4720,2710,4,963385682
4721,2710,3,963374546
4725,2710,1,963389003
4726,2710,3,963990146
4732,2710,5,963332933
4736,2710,4,963631541
4742,2710,3,963329715
4748,2710,5,963269009
4754,2710,4,963181028
4773,2710,4,963069043
4793,2710,1,963435901
4800,2710,4,962945182
4808,2710,1,962934151
4819,2710,1,962924086
4823,2710,3,963267879
4826,2710,1,963004558
4827,2710,2,962908095
4834,2710,3,986181153
4837,2710,5,962891837
4848,2710,2,962833898
4849,2710,3,962833718
4851,2710,5,962833586
4867,2710,4,962849339
4868,2710,1,965789690
4884,2710,2,962744814
4890,2710,4,962738658
4897,2710,2,962716711
4918,2710,3,963084889
4939,2710,5,962648459
4948,2710,1,962640459
4950,2710,4,962641471
4951,2710,5,962638462
4953,2710,4,962637560
4979,2710,1,984542468
4980,2710,3,963973395
5005,2710,3,962587535
5011,2710,5,962592058
5026,2710,4,962571073
5028,2710,3,962569736
5036,2710,4,962550185
5037,2710,4,962548675
5040,2710,5,962511626
5042,2710,4,962506402
5074,2710,4,964551210
5077,2710,5,962552721
5081,2710,1,966282202
5083,2710,4,962405607
5087,2710,1,962396221
5097,2710,3,962373985
5099,2710,4,962368187
5102,2710,4,982890618
5112,2710,2,962326136
5117,2710,3,962468863
5143,2710,5,962832003
5151,2710,4,961986324
5156,2710,4,961960095
5158,2710,5,961940623
5161,2710,2,961913458
5178,2710,1,961819815
5194,2710,2,961697140
5198,2710,3,961684983
5204,2710,1,961632937
5205,2710,5,961639852
5208,2710,4,961624421
5216,2710,3,961550801
5217,2710,4,961550816
5220,2710,4,961545912
5223,2710,1,961529586
5224,2710,3,961518009
5225,2710,4,961517845
5229,2710,5,961465055
5246,2710,5,961374525
5247,2710,4,961373579
5251,2710,3,961342574
5254,2710,1,961286613
5268,2710,1,961168589
5274,2710,5,961108920
5285,2710,2,961094018
5290,2710,5,961077935
5296,2710,2,962030398
5305,2710,4,963893446
5306,2710,3,960938700
5315,2710,2,960918956
5316,2710,4,960908481
5319,2710,5,960866565
5321,2710,3,960865516
5323,2710,3,960847169
5329,2710,3,960916443
5331,2710,2,964025801
5342,2710,3,960684724
5347,2710,1,960666481
5349,2710,4,960666168
5357,2710,2,960572867
5359,2710,3,971370635
5365,2710,4,960503808
5366,2710,3,960500383
5367,2710,3,960499635
5370,2710,2,960485516
5374,2710,1,962391108
5386,2710,4,960349763
5387,2710,2,961190372
5394,2710,4,980666832
5395,2710,3,969592765
5397,2710,1,963423787
5403,2710,4,960258956
5404,2710,2,960256760
5410,2710,3,960244706
5414,2710,3,960238736
5418,2710,4,960185727
5425,2710,3,960109391
5428,2710,3,960078659
5433,2710,4,960051062
5442,2710,1,959979924
5444,2710,1,959973153
5449,2710,2,959949781
5450,2710,3,959980079
5455,2710,3,959914228
5459,2710,1,959910507
5462,2710,3,959899850
5475,2710,3,959881941
5482,2710,3,959868277
5489,2710,1,959816923
5491,2710,3,960869595
5495,2710,4,959810930
5496,2710,3,959810020
5501,2710,3,959795643
5507,2710,1,959726362
5508,2710,3,959723668
5510,2710,3,959717966
5522,2710,4,960089014
5530,2710,4,959997490
5532,2710,2,959619412
5536,2710,4,959991199
5539,2710,3,959539500
5543,2710,4,959509463
5544,2710,2,959498563
5550,2710,5,959621616
5551,2710,2,959459190
5555,2710,4,959827371
5568,2710,1,959314821
5575,2710,3,959293831
5578,2710,3,959289723
5579,2710,3,959289496
5587,2710,4,959276368
5595,2710,3,972505038
5596,2710,4,959653969
5599,2710,2,959214529
5602,2710,4,959208087
5604,2710,2,959834811
5605,2710,1,959194744
5612,2710,3,959173933
5614,2710,5,964399672
5621,2710,5,967951766
5627,2710,4,959040156
5646,2710,2,958873324
5649,2710,3,958868696
5651,2710,3,958852637
5653,2710,1,959145671
5654,2710,4,958845686
5657,2710,4,1041646483
5663,2710,1,958770112
5670,2710,2,958716149
5678,2710,4,958628391
5683,2710,4,959399473
5684,2710,1,958605593
5685,2710,3,958604282
5689,2710,5,961597045
5692,2710,5,958596464
5699,2710,2,958597613
5701,2710,4,958588814
5706,2710,4,958529208
5710,2710,2,958518743
